ID,Name,Description,Dataset_ID,Category,Type,Units,Source,Changes,Notes
EA201,Marital residence with kin: change after first years,Indicates whether or not the pattern of marital residence differs in the first years of marriage relative to later years.,EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),"Added because of the recoding of v10, to allow users to quickly identify societies where marital residence in early years differs from that in later years.",
EA011,Transfer of residence at marriage: prevailing pattern,"The prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",EA,"Marriage,Kinship",Categorical,,Gray (1999),"Revised codes for avunculocal cases, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). ","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA012,Marital residence with kin: prevailing pattern,The prevailing profile of marital residence in the society.,EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),"Two codes added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]"". He further specifies that these are cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. Given this specific definition, we decided these two cases should be ""stand alone"" codes under v12, rather than cases where a prevailing pattern (v12) is accompanied by an alternative pattern (v14).",
EA013,Transfer of residence at marriage: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",EA,"Marriage,Kinship",Categorical,,Gray (1999),"Revised codes for avunculocal cases here and for variable EA011, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). Because codes for this variable are dependent on EA011, adjusted all codes for this variable after adjusting EA011 and this variable for avunculocal cases.","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA014,Marital residence with kin: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing profile of marital residence.",EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),"No change, despite change to v12, for wich ""Uv"" and ""Vu"" now coded as specific cases. In other words, "".v"" following U and "".u"" following V are still coded as 'alternative states' to v12. ",
EA015,Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy, together with the presence or absence of localized kin groups. The specific structure of clans, whether ambilocal, matrilocal, or patrilocal, is revealed by the variable describing prevailing patterns of residence with kin.",EA,"Marriage,Kinship,Community organization",Categorical,,Murdock (1962-1971); Gray (1999),,
EA016,Organization of clan communities,"Indicates whether or not societies organized as clan-communities (i.e., where communities represent a single, localized, exogamous kin group or clan) are also segmented into clan barrios.",EA,"Marriage,Kinship,Community organization",Categorical,,Murdock (1962-1971); Gray (1999),,
EA017,Largest patrilineal kin group,The largest type of patrilineal kin group reported for the society.,EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,
EA018,Largest patrilineal exogamous group,The largest patrilineal kin group characterized by exogamy.,EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 17"") in Gray (1999) are now represented by their codes in v17. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No patrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",
EA019,Largest matrilineal kin group,The largest type of matrilineal kin group reported for the society.,EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,
EA020,Largest matrilineal exogamous group,The largest matrilineal kin group characterized by exogamy.,EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 19"") in Gray (1999) are now represented by their codes in v19. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No matrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",
EA021,Cognatic kin groups,"The presence or probable absence, and the typology, of cognatic kin groups.",EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,
EA022,Secondary cognatic kin group: kindreds and ramages,"The presence or probable absence, and the typology, of secondary cognatic kin groups. This variable highlights societies for which both kindreds (bilateral descent) and ramages (ambilineal descent) are reported.",EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,
EA023,Cousin marriages permitted,"The rules or practices governing the marriageability or nonmarriageability of a man's first cousins and, in some cases, second cousins.",EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA024,Cousin marriages permitted: subtypes,Number of types of cousins (first and/or second cousins) a man is permitted to marry.,EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),"Used code that was corrected by Gray after publication of Gray (1999). Specifically, Murdock codes ""C-G"" = Gray code ""3"" and only Murdock codes ""M"" and ""P"" = Gray code ""4""",
EA025,Cousin marriages preferred,Preferred rather than just permitted marriages to particular first (and/or second) cousins.,EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA026,Cousin marriages preferred: subtypes,Specific type(s) of cousin preferred as spouses.,EA,"Marriage,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA027,Kin terms for cousins,Extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,EA,Kinship,Categorical,,Murdock (1962-1971); Gray (1999),,
EA028,Agriculture: intensity,Intensity of cultivation.,EA,"Subsistence,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA029,Agriculture: major crop type,Principal type of crop cultivated.,EA,"Subsistence,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),"Societies coded as ""C"" but without a lower-case letter following are here coded as ""0"" (i.e., as having Missing data for ""Principal crop"").",
EA030,Settlement patterns,The prevailing type of settlement pattern.,EA,"Community organization,Housing,Settlement",Categorical,,Murdock (1962-1971); Gray (1999),,
EA031,Mean size of local communities,"The average population of local communities, whatever the pattern of settlement, computed from census data or other evidence.",EA,"Community organization,Population,Settlement",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA032,Jurisdictional hierarchy of local community,"The number of jurisdictional levels in the local community, with 2 representing the theoretical minimum (e.g., independent nuclear or polygynous families) and 4 representing the theoretical maximum (e.g., nuclear families nested within extended families and clan-barrios). See the variable ""Jurisdictional hierarchy beyond the local community"" for information on organization beyond the local community. Note that different types of organization on the same level, e.g., a consanguineal lineage and its localized equivalent, are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",EA,Community organization,Ordinal,,Gray (1999),,
EA033,Jurisdictional hierarchy beyond local community,"The number of jurisdictional levels beyond the local community, with 1 representing the theoretical minimum (e.g.,  none/autonomous bands or villages) and 4 representing the theoretical maximum (e.g., villages nested within parishes, districts, provinces, and a complex state). This variable also provides a measure of political complexity, ranging from 1 for stateless societies, through 2 or 3 for petty and larger paramount chiefdoms or their equivalent, to 4 or 5 for large states. Note that different types of organization on the same level are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",EA,"Community organization,Politics",Ordinal,,Gray (1999),,
EA034,Religion: high gods,"The range of beliefs in high gods. A high god is defined, following Swanson, as a spiritual being who is believed to have created all reality and/or to be its ultimate governor, even if his sole act was to create other spirits who, in turn, created or control the natural world.",EA,Ritual,Categorical,,Murdock (1962-1971); Gray (1999),,
EA035,Games,"Types of games practiced. Following Roberts, only games with an outcome, i.e., a winner and a loser, are treated.",EA,Games,Categorical,,Murdock (1962-1971); Gray (1999),,
EA036,Post-partum sex taboos,"The normal duration of post-partum sex taboos, i.e., those requiring a lactating mother to refrain from sexual intercourse.",EA,"Ritual,Gender,Marriage",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA037,Male genital mutilations,"The practice of circumcision or any of its variants, when culturally normative and not sporadic or merely optional, as well as the age at which it typically occurs.",EA,"Ritual,Gender",Categorical,,Murdock (1962-1971); Gray (1999),,
EA038,Segregation of adolescent boys,Degree and mode of segregating boys at or approaching puberty.,EA,"Ritual,Gender,Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,
EA039,Domestic animals: plow cultivation,"Indicates whether or not animals are employed in plow cultivation, and whether plow cultivation is aboriginal or dates to the post-contact period.",EA,"Subsistence,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA040,Domestic animals: type,The predominant type of animals kept.,EA,"Subsistence,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),,
EA041,Domestic animals: milking,Indicates whether or not domestic animals milked.,EA,"Subsistence,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA042,Subsistence economy: dominant activity,Dominant mode of subsistence (note: not in original EA; derived from other variables on subsistence and type of agriculture).,EA,"Subsistence,Economy",Categorical,,Gray (1999),,
EA043,Descent: major type,"Major mode of descent (note: not in original EA; derived from variables describing patrilineal and matrilineal kin groups EA017, EA019 and EA021).",EA,Kinship,Categorical,,Gray (1999),,
EA044,Sex differences: metal working,"Specialization by sex in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA045,Sex differences: weaving,"Specialization by sex in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA046,Sex differences: leather working,"Specialization by sex in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA047,Sex differences: pottery making,Specialization by sex in the manufacture of earthenware utensils.,EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA048,Sex differences: boat building,"Specialization by sex in the construction of true water craft; not including the making of simple floats, rafts, or the like.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA049,Sex differences: house construction,Specialization by sex in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA050,Sex differences: gathering,Specialization by sex in the gathering of wild plants and small land fauna.,EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA051,Sex differences: hunting,"Specialization by sex in hunting, including trapping and fowling.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA052,Sex Differences: fishing,"Specialization by sex in fishing, including shellfishing and the pursuit of large aquatic animals.",EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA053,Sex differences: animal husbandry,Specialization by sex in animal husbandry.,EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA054,Sex differences: agriculture,Specialization by sex in agriculture.,EA,"Labour,Gender,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA055,Age or occupational specialization: metal working,"Age or occupational specialization in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA056,Age or occupational specialization: weaving,"Age or occupational specialization in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA057,Age or occupational specialization: leather working,"Age or occupational specialization in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA058,Age or occupational specialization: pottery making,Age or occupational specialization in the manufacture of earthenware utensils.,EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA059,Age or occupational specialization: boat building,"Age or occupational specialization in the construction of true water craft; not including the making of simple floats, rafts, or the like.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA060,Age or occupational specialization: house construction,Age or occupational specialization in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA061,Age or occupational specialization: gathering,Age or occupational specialization in the gathering of wild plants and small land fauna.,EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA062,Age or occupational specialization: hunting,"Age or occupational specialization in hunting, including trapping and fowling.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA063,Age or occupational specialization: fishing,"Age or occupational specialization in fishing, including shellfishing and the pursuit of large aquatic animals.",EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA064,Age or occupational specialization: animal husbandry,Age or occupational specialization in animal husbandry.,EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA065,Age or occupational specialization: agriculture,Age or occupational specialization in agriculture.,EA,"Labour,Economy",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA066,Class differentiation: primary,"The degree and type of class differentiation, excluding purely political and religious statuses. See also ""Class differentiation: secondary,"" as some societies exhibit important features of two different types of class differentation.",EA,"Politics,Class,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA067,Class differentiation: secondary features,"Secondary type of class differentiation present in the society, excluding purely political and religious statuses. See also ""Class differentiation: primary"".",EA,"Politics,Class,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA068,Caste differentiation: primary,"The degree and type of caste differentiation. See also ""Caste differentiation: secondary,"" as some societies exhibit important features of two different types of caste differentation.",EA,"Politics,Class,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA069,Caste differentiation: secondary features,"Secondary type of caste differentiation. See also ""Caste differentiation: primary"".",EA,"Politics,Class,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA070,Slavery: type,"The forms and prevalence of slave status, treated quite independently of both class and caste status.",EA,"Politics,Class,Economy,Labour",Categorical,,Murdock (1962-1971); Gray (1999),,
EA071,Slavery: timing,"Indicates whether slavery present at the time of observation of the society, or only in the past.",EA,"Politics,Class,Economy,Labour",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""standalone"" variable; specifically, to distinguish ""Slavery never practiced"" (1) from ""Slavery present in past, but not currently in existence"" (3)",
EA072,Political succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",EA,"Politics,Leadership",Categorical,,Murdock (1962-1971); Gray (1999),Note: recoded from Murdock and split into two variables by Gray (1999),
EA073,Political succession: hereditary succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",EA,"Politics,Leadership,Kinship",Categorical,,Murdock (1962-1971); Gray (1999),,
EA074,Inheritance rule for real property (land),"The rule or practice governing the disposition or transmission of a man's property in land (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",EA,"Property,Wealth Transactions,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA075,Inheritance distribution for real property (land),"Following the inheritance rule for real property (land), this variable indicates how real property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",EA,"Property,Wealth Transactions,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA076,Inheritance rule for movable property,"The rule or practice governing the disposition or transmission of a man's movable property (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",EA,"Property,Wealth Transactions,Economy",Categorical,,Murdock (1962-1971); Gray (1999),,
EA077,Inheritance distribution for movable property,"Following the inheritance rule for movable property, this variable indicates how movable property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",EA,"Property,Wealth Transactions,Economy",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish cases where no inheritance of movable property (""9"") from cases where no data provided on distribution rules (Missing data).",
EA078,Norms of premarital sexual behavior of girls,Prevailing standards of sex behavior for unmarried women.,EA,"Ritual,Gender,Marriage",Categorical,,Murdock (1962-1971); Gray (1999),,
EA079,House construction: ground plan,Ground plan of the prevailing type of dwelling.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA080,House construction: floor level,Floor level of the prevailing type of dwelling.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA081,House construction: wall material,Wall material of the prevailing type of dwelling.,EA,"Community organization,Housing,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",
EA082,House construction: shape of roof,Shape of roof  of the prevailing type of dwelling.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA083,House construction: roofing materials,Roofing materials of the prevailing type of dwelling.,EA,"Community organization,Housing,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",
EA084,House construction (secondary house type): ground plan,Ground plan of secondary or alternative house type.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA085,House construction (secondary house type): floor level,Floor level of secondary or alternative house type.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA086,House construction (secondary house type): wall material,Wall material of secondary or alternative house type.,EA,"Community organization,Housing,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",
EA087,House construction (secondary house type): shape of roof,Shape of roof of secondary or alternative house type.,EA,"Community organization,Housing",Categorical,,Murdock (1962-1971); Gray (1999),,
EA088,House construction (secondary house type): roofing materials,Roofing materials of secondary or alternative house type.,EA,"Community organization,Housing,Ecology",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",
EA090,Political integration ,Political integration of the society with neighbouring communities and/or a larger state; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES). ,EA,"Politics,Leadership,Economy",Categorical,,Murdock (1957); Gray (1999),,
EA094,Political succession: version from Murdock (1957),Rule of succession; for cross-cultural comparibility this is the prevailing rule of succession for the headman of a local community or a near equivalent thereto; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES). ,EA,"Politics,Leadership",Categorical,,Murdock (1957); Gray (1999),,
EA112,Trance states,"Presence/absence of culturally patterned forms of altered states of consciousness. Codes distinguish between two types of altered states: PossessionTrance, considered to be a manifestation of spirit possession, and a Trance state that is not explained by possession.",EA,Ritual,Categorical,,Bourguignon (1973); Gray (1999),,
EA113,Societal rigidity,"Degree of rigidity in social structures. Considers stratification of society, whether status distinctions are earned or ascribed, degree of hierarchy of political system, extent to which residence and group membership are fixed, centralization of authority, flexibility of religious rites.",EA,"Ritual,Politics",Categorical,,Greenbaum (1973); Gray (1999),,
EA202,Population size,"Population of ethnic group as a whole, unless otherwise noted in ""Comments"". Note that source differs by society; EA bibliography is source where possible, otherwise Ember (1992).",EA,Population,Continuous,,Murdock (1962-1971); Ember (1992),,
B001,Subsistence economy: Gathering,"Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.",Binford,"Subsistence,Economy,Property",Continuous,%,Binford (2001) Table 5.01; variable 'GATHERING',,More detail on code definitions and variable in Binford (2001) p. 117
B002,Subsistence economy: Hunting,"Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities",Binford,"Subsistence,Economy,Property",Continuous,%,Binford (2001) Table 5.01; variable 'HUNTING',,More detail on code definitions and variable in Binford (2001) p. 117
B003,Subsistence economy: Fishing,"Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities",Binford,"Subsistence,Economy,Property",Continuous,%,Binford (2001) Table 5.01; variable 'FISHING',,More detail on code definitions and variable in Binford (2001) p. 117
B004,Subsistence economy: Most important activity,"Subsistence activity that provides the majority of a group's nutritional intake (hunting, gathering, or fishing)",Binford,"Subsistence,Economy,Property",Categorical,,Binford (2001) Table 5.01; variable 'SUBSP',,"More detail on code definitions and variable in Binford (2001) pp. 117, 312"
B005,Subsistence economy: Deviation from HGF at documentation,"Character of a group's subsistence economy at the time of documentation (i.e., was susbsistence truly through hunting, gathering, fishing, only?). Groups are coded as either ""normal"" or ""suspect"".",Binford,"Subsistence,Economy,Property",Categorical,,Binford (2001) Table 5.01; variable 'SUBPOP',,More detail on code definitions and variable in Binford (2001) p. 244
B006,Population of ethnic group,Total number of persons to whom the the ethnographic description applies,Binford,Population,Continuous,individuals,Binford (2001) Table 5.01; variable 'TLPOP',,More detail on code definitions and variable in Binford (2001) p. 117
B007,Area occupied by ethnic group (square km),"Ethnographers' estimates of the total land area occupied by the group, in square kilometers",Binford,"Population,Subsistence",Continuous,km2,Binford (2001) Table 5.01; variable 'AREA',"Binford provided estimates in units of '100 square km,' rather than 'square km'",More detail on code definitions and variable in Binford (2001) p. 117
B008,Population density (persons per square km) ,Population of ethnic group divided by area occupied by ethnic group (persons per square km) ,Binford,"Population,Subsistence",Continuous,individuals per km2,Binford (2001) Table 5.01; variable 'DENSITY',Binford provided estimates in 'person per 100 square km' rather than in 'persons per square km',More detail on code definitions and variable in Binford (2001) p. 117
B009,Mobility of group,Is the population mobile or sedentary?,Binford,"Community organization,Settlement",Categorical,,Binford (2001) Table 5.01; variable 'GRPPAT',,More detail on code definitions and variable in Binford (2001) p. 117
B010,Size of smallest group that regularly cooperates for subsistence,"Mean size of the mobile consumer unit that camps together during the most dispersed phase of the settlement cycle. For sedentary groups, the entry indicates the size of the mobile task group operating out of a relatively permanent settlement, as in the case of family units moving together in a ‘walkabout’ strategy during some season of the year. (Binford's ""GRP1"").",Binford,"Population,Demography,Subsistence,Community organization,Settlement",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP1' (Table 5.01) or 'MOST DISPERSED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 143, 236, 244"
B011,Size of village or camp when population most aggregated,"Mean size of the consumer group that regularly camps together during the most aggregated phase of the yearly economic cycles (applies to groups that are mobile, moving entire population from camp to camp as subsistence activities are carried out). For sedentary groups, this is village size.  (Binford's ""GRP2"").",Binford,"Population,Demography,Community organization,Settlement",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP2' (Table 5.01) or 'MOST AGGREGATED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 144, 237, 244"
B012,Size of periodic regional aggregations,"Mean size of multigroup encampments that may aggregate periodically, but not necessarily annually, for immediate subsistence-related activities. (Binford's ""GRP3"").",Binford,"Population,Demography,Community organization,Settlement",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP3' (Table 5.01) or 'PERIODIC REGIONAL AGGREGATIONS' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 145, 244"
B013,Number of moves per year,"Number of moves per year, with 0 moves indicating that society is sedentary",Binford,"Community organization,Settlement",Continuous,moves per year,Binford (2001) Tables 5.01 and 8.04.; variable 'NOMOV' (Table 5.01) or 'NUMBER OF MOVES PER YEAR' (Table 8.01),"In cases where tables 5.01 and 8.04 provided different values for the same society, we adopted the value from table 8.04 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.",More detail on code definitions and variable in Binford (2001) p. 117
