ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment,Contribution_ID
B011,Size of village or camp when population most aggregated,"Mean size of the consumer group that regularly camps together during the most aggregated phase of the yearly economic cycles (applies to groups that are mobile, moving entire population from camp to camp as subsistence activities are carried out). For sedentary groups, this is village size.  (Binford's ""GRP2"").","{""datatype"": ""decimal""}","Community organization, Demography, Population, Settlement",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP2' (Table 5.01) or 'MOST AGGREGATED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 144, 237, 244",dplace-dataset-binford
B012,Size of periodic regional aggregations,"Mean size of multigroup encampments that may aggregate periodically, but not necessarily annually, for immediate subsistence-related activities. (Binford's ""GRP3"").","{""datatype"": ""decimal""}","Community organization, Demography, Population, Settlement",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP3' (Table 5.01) or 'PERIODIC REGIONAL AGGREGATIONS' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 145, 244",dplace-dataset-binford
B013,Number of moves per year,"Number of moves per year, with 0 moves indicating that society is sedentary","{""datatype"": ""decimal""}","Community organization, Settlement",Continuous,moves per year,Binford (2001) Tables 5.01 and 8.04.; variable 'NOMOV' (Table 5.01) or 'NUMBER OF MOVES PER YEAR' (Table 8.01),"In cases where tables 5.01 and 8.04 provided different values for the same society, we adopted the value from table 8.04 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.",More detail on code definitions and variable in Binford (2001) p. 117,dplace-dataset-binford
B014,Distance moved per year (km),Total distance moved between camps/settlements in a year. A distance of 0 indicates society is sedentary.,"{""datatype"": ""decimal""}","Community organization, Settlement",Continuous,km per year,Binford (2001) Tables 5.01 and 8.04.; variable 'DISMOV' (Table 5.01) or 'DISTANCE MOVED PER YEAR' (Table 8.01),"In cases where tables 5.01 and 8.04 provided different values for the same society, we adopted the value from table 8.04 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field. Note that Binford's table 8.04 provides estimates in miles rather than in km.","More detail on code definitions and variable in Binford (2001) pp. 117, 150",dplace-dataset-binford
B015,Household size,Number of persons residing in a single structure,"{""datatype"": ""decimal""}","Demography, Kinship",Continuous,individuals,Binford (2001) Table 8.08; variable 'PERSONS PER HOUSEHOLD',,,dplace-dataset-binford
B016,Family size,Number of persons per family,"{""datatype"": ""decimal""}","Demography, Kinship",Continuous,individuals,Binford (2001) Table 8.08; variable 'PERSONS PER FAMILY',,,dplace-dataset-binford
B017,Domestic organization,The prevailing form of domestic or familial organization,,"Kinship, Marriage",Categorical,,Binford (2001) Table 8.08; variable 'HOUSEHOLD TYPE' (converted to numeric codes following Gray (1999)),,,dplace-dataset-binford
B018,Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families",,"Kinship, Marriage",Categorical,,Binford (2001) Table 8.08; variable 'HOUSEHOLD TYPE' (converted to numeric codes following Gray (1999)),,,dplace-dataset-binford
B019,Polygyny,Percentage of males with more than one wife,"{""datatype"": ""decimal""}","Kinship, Marriage",Continuous,%,Binford (2001) Table 8.07; variable 'PERCENTAGE OF POLYGYNY',,,dplace-dataset-binford
B020,Age of males at first marriage,Mean age (in years) of males at first marriage,"{""datatype"": ""decimal""}","Demography, Marriage",Continuous,years,Binford (2001) Table 8.07; variable 'AGE AT MARRIAGE - MALE',,,dplace-dataset-binford
B021,Age of females at first marriage,Mean age (in years) of females at first marriage,"{""datatype"": ""decimal""}","Demography, Marriage",Continuous,years,Binford (2001) Table 8.07; variable 'AGE AT MARRIAGE - FEMALE',,,dplace-dataset-binford
B022,Mean household size (in small subsistence groups),"An estimate of mean household size based on the following calculation: number of persons in smallest group that regularly cooperates for subsistence, divided by number of households in one of these groups","{""datatype"": ""decimal""}","Community organization, Kinship, Marriage",Continuous,individuals,Binford (2001) Table 9.01; variable 'G1MHS',,Code and variable definitions from Binford and Johnson (2006),dplace-dataset-binford
B023,Mean family size (in small subsistence groups),"An estimate of mean family size based on the following calculation: number of persons in smallest group that regularly cooperates for subsistence, divided by number of married men in group","{""datatype"": ""decimal""}","Community organization, Kinship, Marriage",Continuous,individuals,Binford (2001) Table 9.01; variable 'G1FAMSZ',,More detail on code definitions and variable in Binford (2001) p.286 and Binford and Johnson (2006),dplace-dataset-binford
B024,Mean household size (in villages or large camps),"An estimate of mean household size based on the following calculation: number of persons per settlement (i.e., village or camp at time of year when population is most aggregated), divided by number of households per settlement","{""datatype"": ""decimal""}","Community organization, Kinship, Marriage",Continuous,individuals,Binford (2001) Table 9.01; variable 'G2MHS',,,dplace-dataset-binford
B025,Mean family size (in villages or large camps),"Mean family size calculated as: number of persons per settlement (i.e., village or camp at time of year when population is most aggregated), divided by number of married men per settlement.","{""datatype"": ""decimal""}","Community organization, Kinship, Marriage",Continuous,individuals,Binford (2001) Table 9.01; variable 'G2FAMSZ',,,dplace-dataset-binford
B027,Number of families per household,Mean number of families per household,"{""datatype"": ""decimal""}","Community organization, Kinship, Marriage",Continuous,families,Binford (2001) Table 9.01; variable 'FAMHOUS',,,dplace-dataset-binford
B029,Jurisdictional hierarchy of local community,Political complexity at level of local community,,"Leadership, Politics",Categorical,,Binford (2001) Table 9.01; variable 'POLYSCAL',,"More detail on code definitions and variable in Binford (2001) p. 244, caption to fig. 8.02; p.338, caption to Fig 9.06",dplace-dataset-binford
B030,Political relationship to neighbouring groups,Political and economic position of the group relative to other groups in the region,,Politics,Categorical,,Binford (2001) Table 9.01; variable 'POLPOS',,More detail on code definitions and variable in Binford (2001) p. 404,dplace-dataset-binford
B031,Type of social class distinction,Type of social class distinction,,"Class, Politics",Categorical,,Binford (2001) Table 9.01; variable 'CLASS',,More detail on code definitions and variable in Binford (2001) p. 396,dplace-dataset-binford
B032,Perogatives of leadership,"Perogatives of leadership, regardless of the types of leadership present in the group",,"Leadership, Politics",Categorical,,Binford (2001) Table 9.01; variable 'PEROGAT',,"More detail on code definitions and variable in Binford (2001) p.338, caption to Fig 9.06",dplace-dataset-binford
B033,Use of money,Presence or absence of use of money within the society,,"Economy, Property, Wealth transactions",Ordinal,,Binford (2001) Table 9.01; variable 'MONEY',,Code and variable definitions from Binford and Johnson (2006),dplace-dataset-binford
B034,Economic specialization,Whether there is economic role specialization beyond simple age and gender differences,,"Economy, Labour",Ordinal,,Binford (2001) Table 9.01; variable 'OCCSPE',,"More detail on variable in Binford (2001) p. 333, but no code definitions; division of labor discussed briefly on p. 244; code definitions from Binford and Johnson (2006)",dplace-dataset-binford
B035,Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy coded together with the presence or absence of localized kin groups. Can be interpreted as ordinal measure of endogamy.",,"Community organization, Kinship, Marriage",Categorical,,Binford (2001) Table 9.01; variable 'COMMUN',,Code and variable definitions from Binford and Johnson (2006),dplace-dataset-binford
B036,Community facilities,"The functions and properties of structures with specific community-wide functions. These are not residences, nor are they multifunctional residences.",,"Community organization, Housing, Politics",Categorical,,Binford (2001) Table 9.01; variable 'COMSTFUN',,Code and variable definitions from Binford and Johnson (2006),dplace-dataset-binford
B037,Ownership of resource locations ,Ownership of resource locations ,,"Economy, Property, Subsistence",Categorical,,Binford (2001) Table 9.01; variable 'OWNERS',,"Code definitions somewhat ambiguous, see Binford (2001) p. 426, caption to Fig. 11.17",dplace-dataset-binford
B038,System state: typology of society's political organization,"Variable represents a combination of data relating to leadership, internal differentiation of leadership status, associated roles relative to participation in decision making, and the exercise of power within the society. According to Binford (2001) these include some of the criteria used in ""more thoughtful evolutionary classifications,"" such as ones by Fried (1967) and Jonson and Earle (1987). ",,Politics,Categorical,,Binford (2001) Table 9.01; variable 'SYSSTATE',,More detail on code definitions and variable in Binford (2001) p. 345; Codes given in caption for figure 9.02. ,dplace-dataset-binford
B039,"Height (male, mm)",Stature (mm) - Male,"{""datatype"": ""decimal""}",Anthropometry,Continuous,mm,Binford (2001) Table 6.03; variable 'STATURE (CM*) - MALE' (*should be mm),,,dplace-dataset-binford
B040,"Height (female, mm)",Stature (mm) - Female,"{""datatype"": ""decimal""}",Anthropometry,Continuous,mm,Binford (2001) Table 6.03; variable 'STATURE (CM*) - FEMALE' (*should be mm),,,dplace-dataset-binford
B041,"Weight (male, kg)",Weight (kg) - Male,"{""datatype"": ""decimal""}",Anthropometry,Continuous,kg,Binford (2001) Table 6.03; variable 'WEIGHT (KG) - MALE',,,dplace-dataset-binford
B042,"Weight (female, kg)",Weight (kg) - Female,"{""datatype"": ""decimal""}",Anthropometry,Continuous,kg,Binford (2001) Table 6.03; variable 'WEIGHT (KG) - FEMALE',,,dplace-dataset-binford
CARNEIRO_001,Agriculture present,"Agriculture (horticulture) present (i.e., domesticated food plants cultivated)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_002,Agriculture and domestic animals are primary subsistence,Agriculture and/or domesticated animals provide the major part of subsistence (about 75% or more),,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_003,Agricultural plots repeatedly cultivated,Agricultural plots repeatedly cultivated except for periods of fallow (if they occur),,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_004,Improved techniques of planting,"Improved techniques of planting (e.g., mounds, planting in rows, breaking of clods, plowing, fertilization)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_005,Soil-working tools,"Soil-working tools other than the digging stick (e.g., hoe, spade, rake, foot plow)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_006,Harvesting tools,"Harvesting tools other than a simple beating stick used in reaping or threshing domesticated plants (e.g., flail, sickle, rice header, winnowing tray)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_007,Animal-drawn plow,Animal-drawn plow,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_008,Fertilization of land,"Fertilization of land with material other than wood ashes (e.g., animal manure, night soil, green manure, compost, fresh soil or mud)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_009,Fences built to protect crops,Fences built around fields or gardens to protect crops,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_010,Major male contribution to agriculture,Men do as much or more of the agricultural work as women (beyond clearing),,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_011,Increasing agricultural land through drainage,Drainage employed to increase the area of available agricultural land,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_012,Irrigation of agricultural land,Irrigation of agricultural land,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_013,Permanent dams or dikes,"Permanent dams or dikes to impound water for irrigation, drinking, etc.",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_014,Terracing,Terracing (including the erection of barriers to reduce soil slippage),,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_015,Agricultural land reverted,"Agricultural land reverts to kinship group (e.g., lineage, sib), chief or tribe, king or state, as personal property or for reassignment when owner abandons the land or dies without heirs",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_016,Agricultural land reapportioned,"Most of the agricultural land systematically reapportioned from time to time by the village, chief, tribe, or state to insure equitable distribution and/or a high degree of cultivation, rather than for services rendered",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_017,Measures to promote or maintain agricultural production,"Chief, king, or other official(s) takes measures to promote or maintain agricultural production (e.g., requires land to be worked efficiently and punishes failure to do so)",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_018,Planting and harvesting times determined by specialists,Political or religious officials or other specialists determine the time of planting and harvesting,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_019,State or church provides farmers with equipment,State or church provides farmers with seed or tools for agricultural purposes,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_020,State surveying of agricultural land,State surveying of agricultural land,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_021,Regular food surplus accumulation,"Surplus of food regularly accumulated over and above the annual subsistence needs of the food producers, and not consumed by them",,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_022,Agricultural estates,Agricultural estates which regularly produce a sizable surplus of food for sale to urban centers,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_023,Cash crops,Cash crops raised entirely or largely for sale rather than for domestic consumption,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_024,Government granaries,Granaries erected by the government and food distributed from them by a government official,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_025,Domesticated animals serve as a source of food,Domesticated animals serve as a source of food (exclude the eating during famines or other unusual occasions of domesticated animals not normally used as food),,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_026,Domesticated animals used for packing,Domesticated animals used for packing,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_027,Domesticated animals used for traction,Domesticated animals used for traction,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_028,Domesticated animals used for riding,Domesticated animals used for riding,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_029,Domesticated animals kept for wool or hair,Domesticated animals kept for wool or hair,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_030,Selective breeding of domesticated animals,Selective breeding of domesticated animals,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_031,Specialized herdsmen or dairymen,Specialized herdsmen or dairymen,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_032,Fisheries or fish ponds,Fisheries or fish ponds stocked and maintained to provide a regular supply of fish for food,,Subsistence,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_033,Settlements occupied for more than 10 years,"Settlements occupied for more than 10 years, on the average (but not necessarily all year around but at least 40 percent of the year)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_034,Settlements occupied for at least 50 years,Settlements occupied for at least 50 years (but not necessarily all year around but at least 40 percent of the year),,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_035,Settlements arranged in regular patterns,"Settlement(s) arranged in regular pattern(s), (e.g., long house, houses in rows or streets, houses built around a square or plaza)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_036,Communities of 100 or more,Permanent communities (settled or nomadic) of about 100 or more members,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_037,Communities of 500 or more,Permanent communities (settled or nomadic) of about 500 or more members,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_038,"Towns of 2,000 or more","Towns: nucleated settlements of 2,000 or more residents",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_039,Two or more towns,Two or more towns,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_040,"City of 10,000 or more","City: administrative and commercial population center of at least 10,000 residents",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_041,Two or more cities,Two or more cities,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_042,"City of 100,000 or more","City of 100,000 or more residents",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_043,Planned cities,Planned cities,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_044,Paved streets,Paved streets,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_045,Paved sidewalks,Paved sidewalks,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_046,Paved plaza,Paved plaza (exclude patios surrounded by house walls or exclusive to individual houses),,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_047,Civic or ceremonial structures,"Civic or ceremonial structures (including mens house) not ordinarily used as dwellings by family units (excluding structures built for specific occasions and later abandoned, dismantled, or destroyed)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_048,Permanent cemeteries,"Permanent cemeteries, where the graves of the interred are marked",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_049,Stone monuments commemorating persons or events,"Stone monuments or stelae (excluding cairns of unworked stones) to mark or commemorate important persons or events (e.g., megaliths, obelisks, triumphal arches, pyramids)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_050,"Grandstands, theathers, amphitheaters, or stadiums","Grandstands, theathers, amphitheaters, or stadiums where spectators can witness contests or performances",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_051,Formal or landscape gardens,Formal or landscape gardens,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_052,Ornamental fountains,Ornamental fountains,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_053,Aqueducts or conduits,Aqueducts or conduits of stone or brick to supply water for domestic use,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_054,Running water piped into buildings,Running water piped into dwellings or public buildings,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_055,Rain-catching or water-holding cisterns,Cisterns: rain-catching or water-holding basins artificially lined with stone or other hard or impervious material (excluding clay),,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_056,"Baths of stone, brick, or tile","Baths of stone, brick, or tile",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_057,Drains,"Drains: lined channels, covered or uncovered, or pipes used to carry off rain or bath water",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_058,Sewers,"Sewers: lined and covered channels or pipes, primarily for carrying away human waste",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_059,Apartment houses,Apartment houses: multi-storied dwellings in which rooms are customarily rented to tenants,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_060,Permanent fortifications,"Permanent fortifications (including palisades around settlements, blockhouses, citadels, and fortified boundaries, but excluding structures whose primary purpose is not defensive, e.g., compounds, fortifications around dwellings which are normally occupied by only one or a few families)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_061,Stone or brick fortification walls,"Walls of stone, brick, adobe, or beaten earth (including earthworks) used in fortification",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_062,Frontiers fortified with stone walls,Frontiers fortified with stone walls,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_063,Moats,Moats (excluding dry ditches but including diverted rivers) used to protect settlements or fortifications,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_064,Taverns,"Taverns, inns, or eating houses providing food, drink, and/or lodging",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_065,Brothels,Brothels,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_066,Fire brigade,Fire brigade,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_067,Well-maintained roads connecting settlements,Broad and well-maintained roads connecting settlements,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_068,Network of paved roads connecting settlements,Network of paved roads connecting settlements,,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_069,Bridges or causeways,"Bridges or causeways (excluding log spans, vine ropes, and simple pole frameworks)",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_070,Way stations or resthouses,"Way stations or resthouses, not necessarily staffed, which provide lodging for travelers",,Settlements,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_071,Rectangular ground plan for dwellings,Rectangular ground plan for dwellings,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_072,Houses occupied for at least 10 years,"Substantial houses which are lived in for at least 10 years without being permanently abandoned, dismantled, or rebuilt",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_073,House interior divided by walls or partitions,Interior space of houses permanently divided by means of walls or partitions (include lofts),,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_074,Multi-room dwellings,"Dwellings divided into three or more walled-off and separate rooms, with some degree of functional differentiation between them",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_075,Multi-family dwellings,Dwellings which customarily house four or more family units,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_076,Multi-storied structures,Multi-storied structures (not meant to include high storage platforms or lofts which do not form a complete story),,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_077,Parts of dwellings extensively painted or carved,"Walls, ceiling, roof, or other part of dwellings or other structures extensively painted or carved",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_078,Cut stone masonry,Cut stone masonry,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_079,Stone or brick bases for civic or ceremonial structures,"Cut stone or brick substructures (e. g., platforms, truncated pyramids) used as bases for civic or ceremonial structures",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_080,Dwellings of stone or brick,Dwellings (including walls) constructed of cut stone or fired brick,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_081,Civic or ceremonial buildings of stone or brick,Civic or ceremonial buildings constructed of cut stone or fired brick,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_082,Monumental architecture of stone or brick,"Monumental architecture of stone or brick (e.g., pyramids, palaces, temples, fortresses, amphitheaters, but excluding solid platforms)",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_083,Quarrying of stone for construction,Quarrying of stone for construction (rather than merely dressing loose stones),,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_084,Megalithic construction,"Megalithic construction using blocks of stone too heavy to be moved without mechanical devices such as rollers, sledges, ramps, or pulleys",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_085,Stone coursing,Stone coursing (blocks of cut stone laid in successive horizontal layers),,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_086,Rubble used between walls in stone or brick construction,Rubble or some other fill used between walls in stone or brick construction,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_087,Fired brick used in construction,Fired brick used in construction,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_088,Walls of beaten earth or adobe,Walls of beaten earth or adobe,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_089,True mortar used in construction,"True mortar (i.e., a plastic substance with a chemical bonding action) used in construction",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_090,Facing of stone or brick walls or columns,"Facing of stone or brick walls or columns with plaster, alabaster, tile, etc.",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_091,"Roof of tile, brick, dressed stone, planks, etc.","Roof of tile, brick, dressed stone, planks, etc. (i.e., not bark, mud, thatching, or similar material)",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_092,"House floors made of stone, brick, tile, wood etc.","House floors made of stone, brick, tile, flagstone, or wood (including palm and bamboo)",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_093,Stone lintels,Stone lintels,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_094,Arches of stone or brick,Arches of stone or brick (corbeled or keystone),,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_095,True arch,True (keystone) arch,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_096,Stone or brick pillars or columns used structurally,Stone or brick pillars or columns used structurally,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_097,Stone or brick stairways,"Stone or brick stairways (of cut blocks, or carved into living rock)",,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_098,Buttresses used to strengthen stone or brick walls,Buttresses used to strengthen stone or brick walls,,Architecture,Categorical,,,,,dplace-dataset-carneiro
CARNEIRO_099,Ornamental carving of stone architectural features,"Ornamental carving of stone columns, walls, lintels, or other architectural features of stone",,Architecture,Categorical,,,,,dplace-dataset-carneiro
